time_ms,raw_angle,angle_deg,servo_us,phase,i2c_valid,valid,glitch,status,unwrapped_deg,phase_displacement_deg
4294967288,2143,188.3496,1500,NEUTRAL_START,1,1,0,48,0.0879,0.0879
32,2140,188.0859,1500,NEUTRAL_START,1,1,0,48,-0.1758,-0.1758
72,2139,187.9980,1500,NEUTRAL_START,1,1,0,48,-0.2637,-0.2637
112,2145,188.5254,1500,NEUTRAL_START,1,1,0,48,0.2637,0.2637
152,2139,187.9980,1500,NEUTRAL_START,1,1,0,48,-0.2637,-0.2637
192,2142,188.2617,1500,NEUTRAL_START,1,1,0,48,0.0000,0.0000
232,2139,187.9980,1500,NEUTRAL_START,1,1,0,48,-0.2637,-0.2637
272,2138,187.9102,1500,NEUTRAL_START,1,1,0,48,-0.3516,-0.3516
312,2141,188.1738,1500,NEUTRAL_START,1,1,0,48,-0.0879,-0.0879
352,2146,188.6133,1500,NEUTRAL_START,1,1,0,48,0.3516,0.3516
392,2141,188.1738,1500,NEUTRAL_START,1,1,0,48,-0.0879,-0.0879
432,2145,188.5254,1500,NEUTRAL_START,1,1,0,48,0.2637,0.2637
472,2146,188.6133,1500,NEUTRAL_START,1,1,0,48,0.3516,0.3516
512,2146,188.6133,1500,NEUTRAL_START,1,1,0,48,0.3516,0.3516
552,2144,188.4375,1500,NEUTRAL_START,1,1,0,48,0.1758,0.1758
592,2138,187.9102,1500,NEUTRAL_START,1,1,0,48,-0.3516,-0.3516
632,2138,187.9102,1500,NEUTRAL_START,1,1,0,48,-0.3516,-0.3516
672,2143,188.3496,1500,NEUTRAL_START,1,1,0,48,0.0879,0.0879
712,2139,187.9980,1500,NEUTRAL_START,1,1,0,48,-0.2637,-0.2637
752,2139,187.9980,1500,NEUTRAL_START,1,1,0,48,-0.2637,-0.2637
792,2145,188.5254,1500,NEUTRAL_START,1,1,0,48,0.2637,0.2637
832,2146,188.6133,1500,NEUTRAL_START,1,1,0,48,0.3516,0.3516
872,2139,187.9980,1500,NEUTRAL_START,1,1,0,48,-0.2637,-0.2637
912,2142,188.2617,1500,NEUTRAL_START,1,1,0,48,0.0000,0.0000
952,2140,188.0859,1500,NEUTRAL_START,1,1,0,48,-0.1758,-0.1758
992,2138,187.9102,1500,NEUTRAL_START,1,1,0,48,-0.3516,-0.3516
1032,2139,187.9980,1500,NEUTRAL_START,1,1,0,48,-0.2637,-0.2637
1072,2138,187.9102,1500,NEUTRAL_START,1,1,0,48,-0.3516,-0.3516
1112,2140,188.0859,1500,NEUTRAL_START,1,1,0,48,-0.1758,-0.1758
1152,2144,188.4375,1500,NEUTRAL_START,1,1,0,48,0.1758,0.1758
1192,2142,188.2617,1500,NEUTRAL_START,1,1,0,48,0.0000,0.0000
1232,2145,188.5254,1500,NEUTRAL_START,1,1,0,48,0.2637,0.2637
1272,2145,188.5254,1500,NEUTRAL_START,1,1,0,48,0.2637,0.2637
1312,2139,187.9980,1500,NEUTRAL_START,1,1,0,48,-0.2637,-0.2637
1352,2138,187.9102,1500,NEUTRAL_START,1,1,0,48,-0.3516,-0.3516
1392,2139,187.9980,1500,NEUTRAL_START,1,1,0,48,-0.2637,-0.2637
1432,2138,187.9102,1500,NEUTRAL_START,1,1,0,48,-0.3516,-0.3516
1472,2139,187.9980,1500,NEUTRAL_START,1,1,0,48,-0.2637,-0.2637
1512,2146,188.6133,1500,NEUTRAL_START,1,1,0,48,0.3516,0.3516
1552,2144,188.4375,1500,NEUTRAL_START,1,1,0,48,0.1758,0.1758
1592,2143,188.3496,1500,NEUTRAL_START,1,1,0,48,0.0879,0.0879
1632,2143,188.3496,1500,NEUTRAL_START,1,1,0,48,0.0879,0.0879
1672,2142,188.2617,1500,NEUTRAL_START,1,1,0,48,0.0000,0.0000
1712,2139,187.9980,1500,NEUTRAL_START,1,1,0,48,-0.2637,-0.2637
1752,2138,187.9102,1500,NEUTRAL_START,1,1,0,48,-0.3516,-0.3516
1792,2143,188.3496,1500,NEUTRAL_START,1,1,0,48,0.0879,0.0879
1832,2139,187.9980,1500,NEUTRAL_START,1,1,0,48,-0.2637,-0.2637
1872,2140,188.0859,1500,NEUTRAL_START,1,1,0,48,-0.1758,-0.1758
1912,2143,188.3496,1500,NEUTRAL_START,1,1,0,48,0.0879,0.0879
1952,2146,188.6133,1500,NEUTRAL_START,1,1,0,48,0.3516,0.3516
1992,2140,188.0859,2000,LEFT_2000_US,1,1,0,48,-0.1758,-0.1758
2032,2140,188.0859,2000,LEFT_2000_US,1,1,0,48,-0.1758,-0.1758
2072,2138,187.9102,2000,LEFT_2000_US,1,1,0,48,-0.3516,-0.3516
2112,2130,187.2070,2000,LEFT_2000_US,1,1,0,48,-1.0547,-1.0547
2152,2120,186.3281,2000,LEFT_2000_US,1,1,0,48,-1.9336,-1.9336
2192,2109,185.3613,2000,LEFT_2000_US,1,1,0,48,-2.9004,-2.9004
2232,2101,184.6582,2000,LEFT_2000_US,1,1,0,48,-3.6035,-3.6035
2272,2090,183.6914,2000,LEFT_2000_US,1,1,0,48,-4.5703,-4.5703
2312,2078,182.6367,2000,LEFT_2000_US,1,1,0,48,-5.6250,-5.6250
2352,2064,181.4062,2000,LEFT_2000_US,1,1,0,48,-6.8555,-6.8555
2392,2052,180.3516,2000,LEFT_2000_US,1,1,0,48,-7.9102,-7.9102
2432,2040,179.2969,2000,LEFT_2000_US,1,1,0,48,-8.9648,-8.9648
2472,2028,178.2422,2000,LEFT_2000_US,1,1,0,48,-10.0195,-10.0195
2512,2015,177.0996,2000,LEFT_2000_US,1,1,0,48,-11.1621,-11.1621
2552,2004,176.1328,2000,LEFT_2000_US,1,1,0,48,-12.1289,-12.1289
2592,1994,175.2539,2000,LEFT_2000_US,1,1,0,48,-13.0078,-13.0078
2632,1982,174.1992,2000,LEFT_2000_US,1,1,0,48,-14.0625,-14.0625
2672,1971,173.2324,2000,LEFT_2000_US,1,1,0,48,-15.0293,-15.0293
2712,1961,172.3535,2000,LEFT_2000_US,1,1,0,48,-15.9082,-15.9082
