direction,pwm_us,offset_from_neutral_us,output_deg_s_signed,output_rpm_signed,s550_rpm_inferred_signed_ratio_108_15,s550_rpm_magnitude,r_squared,accepted_samples,measurement_samples,source
ANGLE_INCREASING_PWM_BELOW_1500,500,-1000,53.55994,8.92666,64.27192,64.27192,0.998425,69,75,s550-pwm-sweep-20260821-135314.csv
ANGLE_INCREASING_PWM_BELOW_1500,550,-950,53.89768,8.98295,64.67721,64.67721,0.998567,68,75,s550-pwm-sweep-20260821-135314.csv
ANGLE_INCREASING_PWM_BELOW_1500,600,-900,53.34016,8.89003,64.00820,64.00820,0.998982,59,76,s550-pwm-sweep-20260821-135314.csv
ANGLE_INCREASING_PWM_BELOW_1500,700,-800,50.86256,8.47709,61.03507,61.03507,0.998268,61,75,s550-pwm-sweep-20260821-135314.csv
ANGLE_INCREASING_PWM_BELOW_1500,800,-700,45.98486,7.66414,55.18183,55.18183,0.998202,55,75,s550-pwm-sweep-20260821-135314.csv
ANGLE_INCREASING_PWM_BELOW_1500,900,-600,39.99272,6.66545,47.99126,47.99126,0.998103,64,75,s550-pwm-sweep-20260821-135314.csv
ANGLE_INCREASING_PWM_BELOW_1500,1000,-500,31.17187,5.19531,37.40624,37.40624,0.997893,69,75,s550-pwm-sweep-20260821-135314.csv
ANGLE_INCREASING_PWM_BELOW_1500,1040,-460,28.02317,4.67053,33.62781,33.62781,0.997554,68,75,s550-pwm-sweep-20260821-135314.csv
ANGLE_INCREASING_PWM_BELOW_1500,1100,-400,22.53518,3.75586,27.04221,27.04221,0.997667,70,75,s550-pwm-sweep-partial-1450-1100-20260821-134945.csv
ANGLE_INCREASING_PWM_BELOW_1500,1150,-350,19.08312,3.18052,22.89974,22.89974,0.997563,73,75,s550-pwm-sweep-partial-1450-1100-20260821-134945.csv
ANGLE_INCREASING_PWM_BELOW_1500,1200,-300,16.18797,2.69800,19.42557,19.42557,0.997670,75,75,s550-pwm-sweep-partial-1450-1100-20260821-134945.csv
ANGLE_INCREASING_PWM_BELOW_1500,1250,-250,12.47823,2.07970,14.97387,14.97387,0.993657,75,75,s550-pwm-sweep-partial-1450-1100-20260821-134945.csv
ANGLE_INCREASING_PWM_BELOW_1500,1300,-200,9.48732,1.58122,11.38479,11.38479,0.994303,75,75,s550-pwm-sweep-partial-1450-1100-20260821-134945.csv
