time_ms,raw_angle,raw_angle_deg,corrected_cyclic_deg,unwrapped_raw_deg,servo_us,phase,i2c_valid,accepted,md,glitch
36,609,53.52539,42.22164,0.17578,1500,START_NEUTRAL,1,1,1,0
74,599,52.64648,41.49149,-0.70312,1500,START_NEUTRAL,1,1,1,0
114,599,52.64648,41.49149,-0.70312,1500,START_NEUTRAL,1,1,1,0
152,599,52.64648,41.49149,-0.70312,1500,START_NEUTRAL,1,1,1,0
195,607,53.34961,42.07461,0.00000,1500,START_NEUTRAL,1,1,1,0
230,607,53.34961,42.07461,0.00000,1500,START_NEUTRAL,1,1,1,0
272,607,53.34961,42.07461,0.00000,1500,START_NEUTRAL,1,1,1,0
309,607,53.34961,42.07461,0.00000,1500,START_NEUTRAL,1,1,1,0
350,607,53.34961,42.07461,0.00000,1500,START_NEUTRAL,1,1,1,0
387,604,53.08594,41.85594,-0.26367,1500,START_NEUTRAL,1,1,1,0
426,604,53.08594,41.85594,-0.26367,1500,START_NEUTRAL,1,1,1,0
466,604,53.08594,41.85594,-0.26367,1500,START_NEUTRAL,1,1,1,0
505,604,53.08594,41.85594,-0.26367,1500,START_NEUTRAL,1,1,1,0
544,604,53.08594,41.85594,-0.26367,1500,START_NEUTRAL,1,1,1,0
583,613,53.87695,42.51820,0.52734,1500,START_NEUTRAL,1,1,1,0
622,613,53.87695,42.51820,0.52734,1500,START_NEUTRAL,1,1,1,0
657,613,53.87695,42.51820,0.52734,1500,START_NEUTRAL,1,1,1,0
704,615,54.05273,42.66648,0.70312,1500,START_NEUTRAL,1,1,1,0
742,615,54.05273,42.66648,0.70312,1500,START_NEUTRAL,1,1,1,0
781,605,53.17383,41.92883,-0.17578,1500,START_NEUTRAL,1,1,1,0
819,605,53.17383,41.92883,-0.17578,1500,START_NEUTRAL,1,1,1,0
862,605,53.17383,41.92883,-0.17578,1500,START_NEUTRAL,1,1,1,0
899,608,53.43750,42.14750,0.08789,1500,START_NEUTRAL,1,1,1,0
940,608,53.43750,42.14750,0.08789,1500,START_NEUTRAL,1,1,1,0
979,605,53.17383,41.92883,-0.17578,1500,START_NEUTRAL,1,1,1,0
1021,605,53.17383,41.92883,-0.17578,1500,START_NEUTRAL,1,1,1,0
1059,605,53.17383,41.92883,-0.17578,1500,START_NEUTRAL,1,1,1,0
1101,604,53.08594,41.85594,-0.26367,1500,START_NEUTRAL,1,1,1,0
1139,604,53.08594,41.85594,-0.26367,1500,START_NEUTRAL,1,1,1,0
1180,604,53.08594,41.85594,-0.26367,1500,START_NEUTRAL,1,1,1,0
1221,604,53.08594,41.85594,-0.26367,1500,START_NEUTRAL,1,1,1,0
1260,604,53.08594,41.85594,-0.26367,1500,START_NEUTRAL,1,1,1,0
1302,608,53.43750,42.14750,0.08789,1500,START_NEUTRAL,1,1,1,0
1342,608,53.43750,42.14750,0.08789,1500,START_NEUTRAL,1,1,1,0
1381,610,53.61328,42.29578,0.26367,1500,START_NEUTRAL,1,1,1,0
1421,610,53.61328,42.29578,0.26367,1500,START_NEUTRAL,1,1,1,0
1461,610,53.61328,42.29578,0.26367,1500,START_NEUTRAL,1,1,1,0
1500,611,53.70117,42.36992,0.35156,1500,START_NEUTRAL,1,1,1,0
1539,611,53.70117,42.36992,0.35156,1500,START_NEUTRAL,1,1,1,0
1581,612,53.78906,42.44406,0.43945,1500,START_NEUTRAL,1,1,1,0
1619,612,53.78906,42.44406,0.43945,1500,START_NEUTRAL,1,1,1,0
1661,612,53.78906,42.44406,0.43945,1500,START_NEUTRAL,1,1,1,0
1699,607,53.34961,42.07461,0.00000,1500,START_NEUTRAL,1,1,1,0
1741,607,53.34961,42.07461,0.00000,1500,START_NEUTRAL,1,1,1,0
1779,607,53.34961,42.07461,0.00000,1500,START_NEUTRAL,1,1,1,0
1822,609,53.52539,42.22164,0.17578,1500,START_NEUTRAL,1,1,1,0
1859,609,53.52539,42.22164,0.17578,1500,START_NEUTRAL,1,1,1,0
1901,606,53.26172,42.00172,-0.08789,1500,START_NEUTRAL,1,1,1,0
1939,606,53.26172,42.00172,-0.08789,1500,START_NEUTRAL,1,1,1,0
1981,606,53.26172,42.00172,-0.08789,1500,START_NEUTRAL,1,1,1,0
2021,604,53.08594,41.85594,-0.26367,1500,START_NEUTRAL,1,1,1,0
2061,604,53.08594,41.85594,-0.26367,1500,START_NEUTRAL,1,1,1,0
2101,604,53.08594,41.85594,-0.26367,1500,START_NEUTRAL,1,1,1,0
2141,604,53.08594,41.85594,-0.26367,1500,START_NEUTRAL,1,1,1,0
2179,604,53.08594,41.85594,-0.26367,1500,START_NEUTRAL,1,1,1,0
2222,605,53.17383,41.92883,-0.17578,1500,START_NEUTRAL,1,1,1,0
2259,605,53.17383,41.92883,-0.17578,1500,START_NEUTRAL,1,1,1,0
2302,608,53.43750,42.14750,0.08789,1500,START_NEUTRAL,1,1,1,0
2339,608,53.43750,42.14750,0.08789,1500,START_NEUTRAL,1,1,1,0
2380,608,53.43750,42.14750,0.08789,1500,START_NEUTRAL,1,1,1,0
2420,607,53.34961,42.07461,0.00000,1500,START_NEUTRAL,1,1,1,0
2461,607,53.34961,42.07461,0.00000,1500,START_NEUTRAL,1,1,1,0
2499,609,53.52539,42.22164,0.17578,1500,START_NEUTRAL,1,1,1,0
2540,609,53.52539,42.22164,0.17578,1500,START_NEUTRAL,1,1,1,0
2579,609,53.52539,42.22164,0.17578,1500,START_NEUTRAL,1,1,1,0
2620,607,53.34961,42.07461,0.00000,1500,START_NEUTRAL,1,1,1,0
2659,607,53.34961,42.07461,0.00000,1500,START_NEUTRAL,1,1,1,0
2701,599,52.64648,41.49149,-0.70312,1500,START_NEUTRAL,1,1,1,0
2739,599,52.64648,41.49149,-0.70312,1500,START_NEUTRAL,1,1,1,0
2781,599,52.64648,41.49149,-0.70312,1500,START_NEUTRAL,1,1,1,0
2819,607,53.34961,42.07461,0.00000,1500,START_NEUTRAL,1,1,1,0
2861,607,53.34961,42.07461,0.00000,1500,START_NEUTRAL,1,1,1,0
2899,602,52.91016,41.71016,-0.43945,1500,START_NEUTRAL,1,1,1,0
2941,602,52.91016,41.71016,-0.43945,1500,START_NEUTRAL,1,1,1,0
2979,602,52.91016,41.71016,-0.43945,1500,START_NEUTRAL,1,1,1,0
3021,608,53.43750,42.14750,0.08789,1487,RAMP_IN,1,1,1,0
3061,608,53.43750,42.14750,0.08789,1454,RAMP_IN,1,1,1,0
3100,608,53.43750,42.14750,0.08789,1425,RAMP_IN,1,1,1,0
3139,611,53.70117,42.36992,0.35156,1395,RAMP_IN,1,1,1,0
3181,611,53.70117,42.36992,0.35156,1362,RAMP_IN,1,1,1,0
3219,618,54.31641,42.88891,0.96680,1334,RAMP_IN,1,1,1,0
3261,618,54.31641,42.88891,0.96680,1302,RAMP_IN,1,1,1,0
3299,618,54.31641,42.88891,0.96680,1272,RAMP_IN,1,1,1,0
3340,621,54.58008,43.11133,1.23047,1241,RAMP_IN,1,1,1,0
3379,621,54.58008,43.11133,1.23047,1211,RAMP_IN,1,1,1,0
3421,642,56.42578,44.67266,3.07617,1179,RAMP_IN,1,1,1,0
3459,642,56.42578,44.67266,3.07617,1149,RAMP_IN,1,1,1,0
3502,642,56.42578,44.67266,3.07617,1118,RAMP_IN,1,1,1,0
3539,650,57.12891,45.28328,3.77930,1088,RAMP_IN,1,1,1,0
3582,650,57.12891,45.28328,3.77930,1056,RAMP_IN,1,1,1,0
3619,698,61.34766,48.99578,7.99805,1040,SETTLE,1,1,1,0
3659,698,61.34766,48.99578,7.99805,1040,SETTLE,1,1,1,0
3699,698,61.34766,48.99578,7.99805,1040,SETTLE,1,1,1,0
3741,722,63.45703,50.91203,10.10742,1040,SETTLE,1,1,1,0
3779,722,63.45703,50.91203,10.10742,1040,SETTLE,1,1,1,0
3821,759,66.70898,53.92961,13.35938,1040,SETTLE,1,1,1,0
3861,759,66.70898,53.92961,13.35938,1040,SETTLE,1,1,1,0
3901,759,66.70898,53.92961,13.35938,1040,SETTLE,1,1,1,0
3939,795,69.87305,56.94180,16.52344,1040,SETTLE,1,1,1,0
3981,795,69.87305,56.94180,16.52344,1040,SETTLE,1,1,1,0
4019,825,72.50977,59.50508,19.16016,1040,SETTLE,1,1,1,0
4061,825,72.50977,59.50508,19.16016,1040,SETTLE,1,1,1,0
4100,825,72.50977,59.50508,19.16016,1040,SETTLE,1,1,1,0
4140,862,75.76172,62.72297,22.41211,1040,SETTLE,1,1,1,0
4179,862,75.76172,62.72297,22.41211,1040,SETTLE,1,1,1,0
4221,899,79.01367,66.00211,25.66406,1040,SETTLE,1,1,1,0
4260,899,79.01367,66.00211,25.66406,1040,SETTLE,1,1,1,0
4301,899,79.01367,66.00211,25.66406,1040,SETTLE,1,1,1,0
4339,926,81.38672,68.45110,28.03711,1040,SETTLE,1,1,1,0
4379,926,81.38672,68.45110,28.03711,1040,SETTLE,1,1,1,0
4419,926,81.38672,68.45110,28.03711,1040,SETTLE,1,1,1,0
4461,959,84.28711,71.50243,30.93750,1040,SETTLE,1,1,1,0
4499,959,84.28711,71.50243,30.93750,1040,SETTLE,1,1,1,0
4541,987,86.74805,74.14523,33.39844,1040,SETTLE,1,1,1,0
4580,987,86.74805,74.14523,33.39844,1040,SETTLE,1,1,1,0
4621,987,86.74805,74.14523,33.39844,1040,MEASURE,1,1,1,0
4659,1019,89.56055,77.20992,36.21094,1040,MEASURE,1,1,1,0
