time_ms,raw_angle,raw_angle_deg,corrected_cyclic_deg,unwrapped_raw_deg,servo_us,phase,i2c_valid,accepted,md,glitch
48,3459,304.01367,314.75555,-0.08789,1500,START_NEUTRAL,1,1,1,0
98,3459,304.01367,314.75555,-0.08789,1500,START_NEUTRAL,1,1,1,0
148,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
198,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
248,3462,304.27734,314.99109,0.17578,1500,START_NEUTRAL,1,1,1,0
298,3462,304.27734,314.99109,0.17578,1500,START_NEUTRAL,1,1,1,0
348,3463,304.36523,315.06961,0.26367,1500,START_NEUTRAL,1,1,1,0
398,3463,304.36523,315.06961,0.26367,1500,START_NEUTRAL,1,1,1,0
450,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
498,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
548,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
598,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
648,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
698,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
748,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
798,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
848,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
898,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
948,3459,304.01367,314.75555,-0.08789,1500,START_NEUTRAL,1,1,1,0
998,3459,304.01367,314.75555,-0.08789,1500,START_NEUTRAL,1,1,1,0
1048,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
1101,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
1148,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
1201,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
1248,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
1298,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
1348,3462,304.27734,314.99109,0.17578,1500,START_NEUTRAL,1,1,1,0
1398,3462,304.27734,314.99109,0.17578,1500,START_NEUTRAL,1,1,1,0
1448,3462,304.27734,314.99109,0.17578,1500,START_NEUTRAL,1,1,1,0
1498,3482,306.03516,316.56140,1.93359,1500,START_NEUTRAL,1,1,1,0
1548,3482,306.03516,316.56140,1.93359,1500,START_NEUTRAL,1,1,1,0
1598,3470,304.98047,315.61923,0.87891,1500,START_NEUTRAL,1,1,1,0
1648,3470,304.98047,315.61923,0.87891,1500,START_NEUTRAL,1,1,1,0
1698,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
1748,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
1798,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
1848,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
1898,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
1948,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
1998,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
2048,3460,304.10156,314.83408,0.00000,1500,START_NEUTRAL,1,1,1,0
