time_ms,raw_angle,raw_angle_deg,corrected_cyclic_deg,unwrapped_raw_deg,servo_us,phase,i2c_valid,accepted,md,glitch
7,2721,239.15039,245.60352,0.08789,1500,START_NEUTRAL,1,1,1,0
55,2716,238.71094,245.09843,-0.35156,1500,START_NEUTRAL,1,1,1,0
105,2716,238.71094,245.09843,-0.35156,1500,START_NEUTRAL,1,1,1,0
155,2719,238.97461,245.40149,-0.08789,1500,START_NEUTRAL,1,1,1,0
207,2719,238.97461,245.40149,-0.08789,1500,START_NEUTRAL,1,1,1,0
255,2718,238.88672,245.30048,-0.17578,1500,START_NEUTRAL,1,1,1,0
305,2718,238.88672,245.30048,-0.17578,1500,START_NEUTRAL,1,1,1,0
355,2720,239.06250,245.50250,0.00000,1500,START_NEUTRAL,1,1,1,0
405,2720,239.06250,245.50250,0.00000,1500,START_NEUTRAL,1,1,1,0
455,2721,239.15039,245.60352,0.08789,1500,START_NEUTRAL,1,1,1,0
505,2721,239.15039,245.60352,0.08789,1500,START_NEUTRAL,1,1,1,0
555,2722,239.23828,245.70453,0.17578,1500,START_NEUTRAL,1,1,1,0
605,2722,239.23828,245.70453,0.17578,1500,START_NEUTRAL,1,1,1,0
655,2720,239.06250,245.50250,0.00000,1500,START_NEUTRAL,1,1,1,0
705,2720,239.06250,245.50250,0.00000,1500,START_NEUTRAL,1,1,1,0
755,2718,238.88672,245.30048,-0.17578,1500,START_NEUTRAL,1,1,1,0
806,2718,238.88672,245.30048,-0.17578,1500,START_NEUTRAL,1,1,1,0
855,2724,239.41406,245.90656,0.35156,1500,START_NEUTRAL,1,1,1,0
905,2724,239.41406,245.90656,0.35156,1500,START_NEUTRAL,1,1,1,0
956,2720,239.06250,245.50250,0.00000,1500,START_NEUTRAL,1,1,1,0
1005,2720,239.06250,245.50250,0.00000,1500,START_NEUTRAL,1,1,1,0
1057,2720,239.06250,245.50250,0.00000,1500,START_NEUTRAL,1,1,1,0
1105,2720,239.06250,245.50250,0.00000,1500,START_NEUTRAL,1,1,1,0
1158,2727,239.67773,246.20961,0.61523,1500,START_NEUTRAL,1,1,1,0
1205,2727,239.67773,246.20961,0.61523,1500,START_NEUTRAL,1,1,1,0
1256,2727,239.67773,246.20961,0.61523,1500,START_NEUTRAL,1,1,1,0
1305,2724,239.41406,245.90656,0.35156,1500,START_NEUTRAL,1,1,1,0
1360,2724,239.41406,245.90656,0.35156,1500,START_NEUTRAL,1,1,1,0
1405,2712,238.35938,244.69438,-0.70312,1500,START_NEUTRAL,1,1,1,0
1459,2712,238.35938,244.69438,-0.70312,1500,START_NEUTRAL,1,1,1,0
1505,2720,239.06250,245.50250,0.00000,1500,START_NEUTRAL,1,1,1,0
1555,2720,239.06250,245.50250,0.00000,1500,START_NEUTRAL,1,1,1,0
1605,2717,238.79883,245.19945,-0.26367,1500,START_NEUTRAL,1,1,1,0
1657,2717,238.79883,245.19945,-0.26367,1500,START_NEUTRAL,1,1,1,0
1705,2718,238.88672,245.30048,-0.17578,1500,START_NEUTRAL,1,1,1,0
1756,2718,238.88672,245.30048,-0.17578,1500,START_NEUTRAL,1,1,1,0
1806,2718,238.88672,245.30048,-0.17578,1500,START_NEUTRAL,1,1,1,0
1857,2718,238.88672,245.30048,-0.17578,1500,START_NEUTRAL,1,1,1,0
1905,2720,239.06250,245.50250,0.00000,1500,START_NEUTRAL,1,1,1,0
1955,2720,239.06250,245.50250,0.00000,1500,START_NEUTRAL,1,1,1,0
2005,2721,239.15039,245.60352,0.08789,1500,START_NEUTRAL,1,1,1,0
2055,2721,239.15039,245.60352,0.08789,1500,START_NEUTRAL,1,1,1,0
2105,2720,239.06250,245.50250,0.00000,1500,START_NEUTRAL,1,1,1,0
2155,2720,239.06250,245.50250,0.00000,1500,START_NEUTRAL,1,1,1,0
2205,2720,239.06250,245.50250,0.00000,1500,START_NEUTRAL,1,1,1,0
2255,2720,239.06250,245.50250,0.00000,1500,START_NEUTRAL,1,1,1,0
2305,2721,239.15039,245.60352,0.08789,1500,START_NEUTRAL,1,1,1,0
2355,2721,239.15039,245.60352,0.08789,1500,START_NEUTRAL,1,1,1,0
2405,2719,238.97461,245.40149,-0.08789,1500,START_NEUTRAL,1,1,1,0
2455,2719,238.97461,245.40149,-0.08789,1500,START_NEUTRAL,1,1,1,0
2505,2721,239.15039,245.60352,0.08789,1500,START_NEUTRAL,1,1,1,0
2555,2721,239.15039,245.60352,0.08789,1500,START_NEUTRAL,1,1,1,0
2605,2721,239.15039,245.60352,0.08789,1500,START_NEUTRAL,1,1,1,0
2655,2721,239.15039,245.60352,0.08789,1500,START_NEUTRAL,1,1,1,0
2705,2720,239.06250,245.50250,0.00000,1500,START_NEUTRAL,1,1,1,0
2755,2720,239.06250,245.50250,0.00000,1500,START_NEUTRAL,1,1,1,0
2806,2721,239.15039,245.60352,0.08789,1500,START_NEUTRAL,1,1,1,0
2857,2721,239.15039,245.60352,0.08789,1500,START_NEUTRAL,1,1,1,0
2908,2726,239.58984,246.10860,0.52734,1500,START_NEUTRAL,1,1,1,0
2956,2726,239.58984,246.10860,0.52734,1500,START_NEUTRAL,1,1,1,0
3006,2721,239.15039,245.60352,0.08789,1500,RAMP_IN,1,1,1,0
3055,2721,239.15039,245.60352,0.08789,1504,RAMP_IN,1,1,1,0
3107,2721,239.15039,245.60352,0.08789,1508,RAMP_IN,1,1,1,0
3155,2721,239.15039,245.60352,0.08789,1512,RAMP_IN,1,1,1,0
3207,2721,239.15039,245.60352,0.08789,1517,RAMP_IN,1,1,1,0
3255,2721,239.15039,245.60352,0.08789,1521,RAMP_IN,1,1,1,0
3305,2721,239.15039,245.60352,0.08789,1525,RAMP_IN,1,1,1,0
3355,2721,239.15039,245.60352,0.08789,1529,RAMP_IN,1,1,1,0
3406,2721,239.15039,245.60352,0.08789,1533,RAMP_IN,1,1,1,0
3455,2721,239.15039,245.60352,0.08789,1537,RAMP_IN,1,1,1,0
3505,2720,239.06250,245.50250,0.00000,1541,RAMP_IN,1,1,1,0
3555,2720,239.06250,245.50250,0.00000,1546,RAMP_IN,1,1,1,0
3605,2721,239.15039,245.60352,0.08789,1550,SETTLE,1,1,1,0
3655,2721,239.15039,245.60352,0.08789,1550,SETTLE,1,1,1,0
3705,2721,239.15039,245.60352,0.08789,1550,SETTLE,1,1,1,0
3755,2721,239.15039,245.60352,0.08789,1550,SETTLE,1,1,1,0
3805,2721,239.15039,245.60352,0.08789,1550,SETTLE,1,1,1,0
3855,2721,239.15039,245.60352,0.08789,1550,SETTLE,1,1,1,0
3905,2721,239.15039,245.60352,0.08789,1550,SETTLE,1,1,1,0
3960,2721,239.15039,245.60352,0.08789,1550,SETTLE,1,1,1,0
4005,2720,239.06250,245.50250,0.00000,1550,SETTLE,1,1,1,0
4058,2720,239.06250,245.50250,0.00000,1550,SETTLE,1,1,1,0
4105,2721,239.15039,245.60352,0.08789,1550,SETTLE,1,1,1,0
4158,2721,239.15039,245.60352,0.08789,1550,SETTLE,1,1,1,0
4205,2726,239.58984,246.10860,0.52734,1550,SETTLE,1,1,1,0
4256,2726,239.58984,246.10860,0.52734,1550,SETTLE,1,1,1,0
4305,2726,239.58984,246.10860,0.52734,1550,SETTLE,1,1,1,0
4355,2716,238.71094,245.09843,-0.35156,1550,SETTLE,1,1,1,0
4405,2716,238.71094,245.09843,-0.35156,1550,SETTLE,1,1,1,0
4455,2728,239.76562,246.31062,0.70312,1550,SETTLE,1,1,1,0
4507,2728,239.76562,246.31062,0.70312,1550,SETTLE,1,1,1,0
4555,2716,238.71094,245.09843,-0.35156,1550,SETTLE,1,1,1,0
4608,2716,238.71094,245.09843,-0.35156,1550,MEASURE,1,1,1,0
4655,2721,239.15039,245.60352,0.08789,1550,MEASURE,1,1,1,0
4706,2721,239.15039,245.60352,0.08789,1550,MEASURE,1,1,1,0
4755,2724,239.41406,245.90656,0.35156,1550,MEASURE,1,1,1,0
4806,2724,239.41406,245.90656,0.35156,1550,MEASURE,1,1,1,0
4855,2720,239.06250,245.50250,0.00000,1550,MEASURE,1,1,1,0
4905,2720,239.06250,245.50250,0.00000,1550,MEASURE,1,1,1,0
4955,2720,239.06250,245.50250,0.00000,1550,MEASURE,1,1,1,0
5006,2720,239.06250,245.50250,0.00000,1550,MEASURE,1,1,1,0
5057,2721,239.15039,245.60352,0.08789,1550,MEASURE,1,1,1,0
5106,2721,239.15039,245.60352,0.08789,1550,MEASURE,1,1,1,0
5158,2720,239.06250,245.50250,0.00000,1550,MEASURE,1,1,1,0
5205,2720,239.06250,245.50250,0.00000,1550,MEASURE,1,1,1,0
5258,2721,239.15039,245.60352,0.08789,1550,MEASURE,1,1,1,0
5305,2721,239.15039,245.60352,0.08789,1550,MEASURE,1,1,1,0
5356,2721,239.15039,245.60352,0.08789,1550,MEASURE,1,1,1,0
5405,2721,239.15039,245.60352,0.08789,1550,MEASURE,1,1,1,0
5457,2721,239.15039,245.60352,0.08789,1550,MEASURE,1,1,1,0
5505,2721,239.15039,245.60352,0.08789,1550,MEASURE,1,1,1,0
5555,2721,239.15039,245.60352,0.08789,1550,MEASURE,1,1,1,0
5606,2721,239.15039,245.60352,0.08789,1550,MEASURE,1,1,1,0
5655,2721,239.15039,245.60352,0.08789,1550,MEASURE,1,1,1,0
5705,2721,239.15039,245.60352,0.08789,1550,MEASURE,1,1,1,0
5755,2721,239.15039,245.60352,0.08789,1550,MEASURE,1,1,1,0
