pwm_us,output_deg_s,output_rpm_as5600,s550_rpm_inferred_ratio_108_15,r_squared,accepted_samples,measurement_samples,source
1450,0.06263,0.01044,0.07516,0.008830,75,75,s550-pwm-sweep-partial-1450-1100-20260821-134945.csv
1400,2.97731,0.49622,3.57277,0.948093,75,75,s550-pwm-sweep-partial-1450-1100-20260821-134945.csv
1350,6.37595,1.06266,7.65114,0.992492,74,74,s550-pwm-sweep-partial-1450-1100-20260821-134945.csv
1300,9.48732,1.58122,11.38479,0.994303,75,75,s550-pwm-sweep-partial-1450-1100-20260821-134945.csv
1250,12.47823,2.07970,14.97387,0.993657,75,75,s550-pwm-sweep-partial-1450-1100-20260821-134945.csv
1200,16.18797,2.69800,19.42557,0.997670,75,75,s550-pwm-sweep-partial-1450-1100-20260821-134945.csv
1150,19.08312,3.18052,22.89974,0.997563,73,75,s550-pwm-sweep-partial-1450-1100-20260821-134945.csv
1100,22.53518,3.75586,27.04221,0.997667,70,75,s550-pwm-sweep-partial-1450-1100-20260821-134945.csv
1040,28.02317,4.67053,33.62781,0.997554,68,75,s550-pwm-sweep-20260821-135314.csv
1000,31.17187,5.19531,37.40624,0.997893,69,75,s550-pwm-sweep-20260821-135314.csv
900,39.99272,6.66545,47.99126,0.998103,64,75,s550-pwm-sweep-20260821-135314.csv
800,45.98486,7.66414,55.18183,0.998202,55,75,s550-pwm-sweep-20260821-135314.csv
700,50.86256,8.47709,61.03507,0.998268,61,75,s550-pwm-sweep-20260821-135314.csv
600,53.34016,8.89003,64.00820,0.998982,59,76,s550-pwm-sweep-20260821-135314.csv
550,53.89768,8.98295,64.67721,0.998567,68,75,s550-pwm-sweep-20260821-135314.csv
500,53.55994,8.92666,64.27192,0.998425,69,75,s550-pwm-sweep-20260821-135314.csv
