time_utc,elapsed_ms,phase,calibration_motor,m1_actual_speed_raw_d10,m2_actual_speed_raw_d10,m1_actual_rpm,m2_actual_rpm,m1_current_a,m2_current_a,m1_status,m2_status,m1_error,m2_error,m1_online,m2_online,m1_stale,m2_stale,m1_control_command,m2_control_command,m1_given_rpm,m2_given_rpm,m1_hall_calibration_status,m2_hall_calibration_status,m1_hall_state,m2_hall_state,m1_hall_angle_deg,m2_hall_angle_deg,read_errors
2026-07-21T05:18:12.116715+00:00,120,baseline,1,0,0,0.0,0.0,0.0,0.0,0,0,0x00000000,0x00000000,0,1,1,0,0,0,0,0,0,0,0,0,89,329,
2026-07-21T05:18:12.253663+00:00,257,calibrating,1,0,0,0.0,0.0,0.0,0.0,0,0,0x00000000,0x00000000,0,1,1,0,0,0,0,0,0,0,0,0,89,329,
2026-07-21T05:18:12.498844+00:00,502,calibrating,1,0,0,0.0,0.0,0.0,0.1,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,44,0,345,329,
2026-07-21T05:18:12.727565+00:00,731,calibrating,1,0,0,0.0,0.0,0.0,0.0,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,44,0,345,329,
2026-07-21T05:18:12.961246+00:00,964,calibrating,1,0,0,0.0,0.0,0.0,0.0,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,44,0,345,329,
2026-07-21T05:18:13.215006+00:00,1218,calibrating,1,0,0,0.0,0.0,0.0,0.0,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,44,0,113,329,
2026-07-21T05:18:13.484849+00:00,1488,calibrating,1,0,5,0.0,0.5,0.0,-4.2,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,345,0,19,329,
2026-07-21T05:18:13.718759+00:00,1722,calibrating,1,0,6,0.0,0.6,0.0,-3.8,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,224,0,254,329,
2026-07-21T05:18:13.969696+00:00,1973,calibrating,1,0,5,0.0,0.5,0.0,-2.5,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,102,0,145,329,
2026-07-21T05:18:14.209623+00:00,2213,calibrating,1,0,6,0.0,0.6,0.0,-2.6,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,345,0,27,329,
2026-07-21T05:18:14.422862+00:00,2426,calibrating,1,0,5,0.0,0.5,0.0,-4.0,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,164,0,238,329,
2026-07-21T05:18:14.631707+00:00,2635,calibrating,1,0,6,0.0,0.6,0.0,-3.2,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,44,0,84,329,
2026-07-21T05:18:14.864385+00:00,2868,calibrating,1,0,6,0.0,0.6,0.0,-3.6,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,282,0,316,329,
2026-07-21T05:18:15.116203+00:00,3119,calibrating,1,0,6,0.0,0.6,0.0,-3.4,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,164,0,209,329,
2026-07-21T05:18:15.338197+00:00,3341,calibrating,1,0,6,0.0,0.6,0.0,-2.9,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,44,0,54,329,
2026-07-21T05:18:15.581302+00:00,3585,calibrating,1,0,6,0.0,0.6,0.0,-3.6,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,282,0,297,329,
2026-07-21T05:18:15.817601+00:00,3821,calibrating,1,0,6,0.0,0.6,0.0,-2.6,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,164,0,187,329,
2026-07-21T05:18:16.066437+00:00,4070,calibrating,1,0,6,0.0,0.6,0.0,-2.2,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,44,0,77,329,
2026-07-21T05:18:16.322194+00:00,4325,calibrating,1,0,5,0.0,0.5,0.0,-3.1,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,282,0,332,329,
2026-07-21T05:18:16.534742+00:00,4538,calibrating,1,0,5,0.0,0.5,0.0,-4.1,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,164,0,182,329,
2026-07-21T05:18:16.771239+00:00,4774,calibrating,1,0,5,0.0,0.5,0.0,-2.2,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,345,0,43,329,
2026-07-21T05:18:17.000268+00:00,5003,calibrating,1,0,0,0.0,0.0,0.0,0.0,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,1,0,345,0,43,329,
2026-07-21T05:18:17.241346+00:00,5245,calibrating,1,0,0,0.0,0.0,0.0,0.0,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,2,0,345,0,43,329,
2026-07-21T05:18:20.016032+00:00,8019,final,1,0,0,0.0,0.0,0.0,0.0,0,1,0x00000000,0x00000000,0,1,1,0,0,0,0,0,2,0,345,0,43,329,
