time_utc,elapsed_ms,phase,calibration_motor,m1_actual_speed_raw_d10,m2_actual_speed_raw_d10,m1_actual_rpm,m2_actual_rpm,m1_current_a,m2_current_a,m1_status,m2_status,m1_error,m2_error,m1_online,m2_online,m1_stale,m2_stale,m1_control_command,m2_control_command,m1_given_rpm,m2_given_rpm,m1_hall_calibration_status,m2_hall_calibration_status,m1_hall_state,m2_hall_state,m1_hall_angle_deg,m2_hall_angle_deg,read_errors
2026-07-21T05:19:35.800954+00:00,141,baseline,1,0,0,0.0,0.0,0.0,-0.1,0,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,0,345,0,43,329,
2026-07-21T05:19:35.971826+00:00,312,calibrating,1,0,0,0.0,0.0,0.0,-0.1,0,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,0,0,345,0,43,329,
2026-07-21T05:19:36.428337+00:00,768,calibrating,1,0,0,0.0,0.0,-0.1,-0.1,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,345,0,43,329,
2026-07-21T05:19:36.708847+00:00,1049,calibrating,1,0,0,0.0,0.0,0.0,-0.1,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,345,0,43,329,
2026-07-21T05:19:36.975777+00:00,1316,calibrating,1,0,0,0.0,0.0,-4.0,-0.1,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,102,0,168,329,
2026-07-21T05:19:37.277092+00:00,1617,calibrating,1,6,0,0.6,0.0,-3.1,-0.1,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,43,0,94,329,
2026-07-21T05:19:37.547659+00:00,1888,calibrating,1,6,0,0.6,0.0,-3.6,-0.1,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,345,0,24,329,
2026-07-21T05:19:37.930128+00:00,2270,calibrating,1,6,0,0.6,0.0,-3.7,-0.1,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,345,0,48,329,
2026-07-21T05:19:38.203500+00:00,2543,calibrating,1,6,0,0.6,0.0,-3.1,-0.1,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,281,0,319,329,
2026-07-21T05:19:38.507982+00:00,2848,calibrating,1,6,0,0.6,0.0,-3.8,-0.1,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,222,0,260,329,
2026-07-21T05:19:38.799852+00:00,3140,calibrating,1,5,0,0.5,0.0,-3.0,-0.1,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,163,0,193,329,
2026-07-21T05:19:39.092032+00:00,3432,calibrating,1,6,0,0.6,0.0,-3.2,-0.1,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,102,0,126,329,
2026-07-21T05:19:39.368728+00:00,3709,calibrating,1,5,0,0.5,0.0,-2.6,-0.1,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,345,0,43,329,
2026-07-21T05:19:39.649149+00:00,3989,calibrating,1,5,0,0.5,0.0,-3.7,-0.1,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,281,0,322,329,
2026-07-21T05:19:39.930073+00:00,4270,calibrating,1,6,0,0.6,0.0,-2.7,-0.1,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,163,0,243,329,
2026-07-21T05:19:40.205142+00:00,4545,calibrating,1,5,0,0.5,0.0,-3.5,-0.1,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,102,0,157,329,
2026-07-21T05:19:40.476018+00:00,4816,calibrating,1,6,0,0.6,0.0,-3.1,-0.1,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,345,0,43,329,
2026-07-21T05:19:40.744955+00:00,5085,calibrating,1,0,0,0.0,0.0,0.1,-0.1,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,345,0,43,329,
2026-07-21T05:19:41.233020+00:00,5573,calibrating,1,0,0,0.0,0.0,0.0,-0.1,0,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,0,345,0,43,329,
2026-07-21T05:19:44.114068+00:00,8454,final,1,0,0,0.0,0.0,0.0,-0.1,0,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,0,345,0,43,329,
