time_utc,elapsed_ms,phase,calibration_motor,m1_actual_speed_raw_d10,m2_actual_speed_raw_d10,m1_actual_rpm,m2_actual_rpm,m1_current_a,m2_current_a,m1_status,m2_status,m1_error,m2_error,m1_online,m2_online,m1_stale,m2_stale,m1_control_command,m2_control_command,m1_given_rpm,m2_given_rpm,m1_hall_calibration_status,m2_hall_calibration_status,m1_hall_state,m2_hall_state,m1_hall_angle_deg,m2_hall_angle_deg,read_errors
2026-07-21T05:42:45.517667+00:00,311,baseline,2,0,0,0.0,0.0,0.0,0.0,0,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,0,344,0,42,89,
2026-07-21T05:42:46.037845+00:00,831,calibrating,2,0,0,0.0,0.0,0.0,0.4,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,344,40,42,343,
2026-07-21T05:42:46.484385+00:00,1278,calibrating,2,0,0,0.0,0.0,0.0,0.1,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,344,40,42,343,
2026-07-21T05:42:46.942191+00:00,1736,calibrating,2,0,5,0.0,0.5,0.0,-3.4,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,344,278,42,329,
2026-07-21T05:42:47.585898+00:00,2379,calibrating,2,0,5,0.0,0.5,0.0,-3.4,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,344,161,42,248,
2026-07-21T05:42:48.081224+00:00,2875,calibrating,2,0,6,0.0,0.6,0.0,-3.1,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,344,278,42,28,
2026-07-21T05:42:48.459110+00:00,3253,calibrating,2,0,5,0.0,0.5,0.0,-3.0,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,344,40,42,60,
2026-07-21T05:42:48.783415+00:00,3577,calibrating,2,0,5,0.0,0.5,0.0,-3.6,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,344,343,42,24,
2026-07-21T05:42:49.072548+00:00,3866,calibrating,2,0,5,0.0,0.5,0.0,-3.3,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,344,278,42,309,
2026-07-21T05:42:49.389099+00:00,4183,calibrating,2,0,6,0.0,0.6,0.0,-3.0,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,344,220,42,267,
2026-07-21T05:42:49.729423+00:00,4523,calibrating,2,0,5,0.0,0.5,0.0,-2.8,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,344,161,42,249,
2026-07-21T05:42:50.024904+00:00,4818,calibrating,2,0,5,0.0,0.5,0.0,-3.4,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,344,99,42,174,
2026-07-21T05:42:50.326451+00:00,5120,calibrating,2,0,5,0.0,0.5,0.0,0.1,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,344,343,42,40,
2026-07-21T05:42:50.791461+00:00,5585,calibrating,2,0,0,0.0,0.0,0.0,0.0,0,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,2,344,343,42,40,
2026-07-21T05:42:53.658751+00:00,8452,final,2,0,0,0.0,0.0,0.0,0.0,0,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,2,344,343,42,40,
