address,name,display_name,group,subgroup,motor_index,access,driver_type,pc_type,scale,suffix,ok,words_hex,words_unsigned,decoded_value,display_value,enum_value,error
0x2000,throttle_neutral_range,Neutral Range,ThrottleBrake,Config,,rw,uint16,int,,%,True,0x0002,2,2,2,,
0x2001,throttle_curve_type,Throttle Curve Type,ThrottleBrake,Config,,rw,uint16,enum,,,True,0x0000,0,0,0,Linear,
0x2002,throttle_curve_num,Throttle Curve Num,ThrottleBrake,Config,,rw,uint16,int,,,True,0x0002,2,2,2,,
0x2010,normal_throttle_max_force,Throttle Max Force,ThrottleBrake,Config,,rw,uint16,int,,%,True,0x0064,100,100,100,,
0x2011,normal_throttle_init_force,Throttle Init Force,ThrottleBrake,Config,,rw,uint16,int,,%,True,0x000A,10,10,10,,
0x2012,normal_throttle_acc,Throttle Acc,ThrottleBrake,Config,,rw,uint16,int,,%,True,0x0032,50,50,50,,
0x2013,normal_max_speed,Max Speed,ThrottleBrake,Config,,rw,uint16,int,,km/h,True,0x0005,5,5,5,,
0x2020,sport_throttle_max_force,Throttle Max Force,ThrottleBrake,Config,,rw,uint16,int,,%,True,0x0064,100,100,100,,
0x2021,sport_throttle_init_force,Throttle Init Force,ThrottleBrake,Config,,rw,uint16,int,,%,True,0x000A,10,10,10,,
0x2022,sport_throttle_acc,Throttle Acc,ThrottleBrake,Config,,rw,uint16,int,,%,True,0x0032,50,50,50,,
0x2023,sport_max_speed,Max Speed,ThrottleBrake,Config,,rw,uint16,int,,km/h,True,0x0005,5,5,5,,
0x2030,turbo_throttle_max_force,Throttle Max Force,ThrottleBrake,Config,,rw,uint16,int,,%,True,0x0064,100,100,100,,
0x2031,turbo_throttle_init_force,Throttle Init Force,ThrottleBrake,Config,,rw,uint16,int,,%,True,0x000A,10,10,10,,
0x2032,turbo_throttle_acc,Throttle Acc,ThrottleBrake,Config,,rw,uint16,int,,%,True,0x0032,50,50,50,,
0x2033,turbo_max_speed,Max Speed,ThrottleBrake,Config,,rw,uint16,int,,km/h,True,0x0005,5,5,5,,
0x2060,throttle_curve_input_0,Throttle Curve Input 0,ThrottleBrake,CurveConfig,,rw,uint16,int,,,True,0x0000,0,0,0,,
0x2061,throttle_curve_input_1,Throttle Curve Input 1,ThrottleBrake,CurveConfig,,rw,uint16,int,,,True,0x0064,100,100,100,,
0x2062,throttle_curve_input_2,Throttle Curve Input 2,ThrottleBrake,CurveConfig,,rw,uint16,int,,,True,0x0000,0,0,0,,
0x2063,throttle_curve_input_3,Throttle Curve Input 3,ThrottleBrake,CurveConfig,,rw,uint16,int,,,True,0x0000,0,0,0,,
0x2064,throttle_curve_input_4,Throttle Curve Input 4,ThrottleBrake,CurveConfig,,rw,uint16,int,,,True,0x0000,0,0,0,,
0x2065,throttle_curve_input_5,Throttle Curve Input 5,ThrottleBrake,CurveConfig,,rw,uint16,int,,,True,0x0000,0,0,0,,
0x2066,throttle_curve_input_6,Throttle Curve Input 6,ThrottleBrake,CurveConfig,,rw,uint16,int,,,True,0x0000,0,0,0,,
0x2067,throttle_curve_input_7,Throttle Curve Input 7,ThrottleBrake,CurveConfig,,rw,uint16,int,,,True,0x0000,0,0,0,,
0x2068,throttle_curve_input_8,Throttle Curve Input 8,ThrottleBrake,CurveConfig,,rw,uint16,int,,,True,0x0000,0,0,0,,
0x2069,throttle_curve_input_9,Throttle Curve Input 9,ThrottleBrake,CurveConfig,,rw,uint16,int,,,True,0x0000,0,0,0,,
0x206A,throttle_curve_input_10,Throttle Curve Input 10,ThrottleBrake,CurveConfig,,rw,uint16,int,,,True,0x0000,0,0,0,,
0x206B,throttle_curve_input_11,Throttle Curve Input 11,ThrottleBrake,CurveConfig,,rw,uint16,int,,,True,0x0000,0,0,0,,
0x206C,throttle_curve_input_12,Throttle Curve Input 12,ThrottleBrake,CurveConfig,,rw,uint16,int,,,True,0x0000,0,0,0,,
0x206D,throttle_curve_input_13,Throttle Curve Input 13,ThrottleBrake,CurveConfig,,rw,uint16,int,,,True,0x0000,0,0,0,,
0x206E,throttle_curve_input_14,Throttle Curve Input 14,ThrottleBrake,CurveConfig,,rw,uint16,int,,,True,0x0000,0,0,0,,
0x206F,throttle_curve_input_15,Throttle Curve Input 15,ThrottleBrake,CurveConfig,,rw,uint16,int,,,True,0x0000,0,0,0,,
0x2070,throttle_curve_output_0,Throttle Curve Output 0,ThrottleBrake,CurveConfig,,rw,uint16,int,,,True,0x0000,0,0,0,,
0x2071,throttle_curve_output_1,Throttle Curve Output 1,ThrottleBrake,CurveConfig,,rw,uint16,int,,,True,0x0064,100,100,100,,
