time_utc,elapsed_ms,phase,drive_id,channel,logical_motor,requested_rpm,given_rpm,actual_speed_raw_d10,actual_rpm,current_a,position_counts,control_command,run_status,hall_state,hall_angle_deg,error_code,sample_duration_ms,read_errors
2026-07-21T05:33:43.509394+00:00,373,baseline,2,M1,2,0,0,-1,-0.1,-0.1,12961,0,0,162,100,0x00000000,336,
2026-07-21T05:33:43.895836+00:00,759,accelerate_hold,2,M1,2,1,1,27,2.7,4.5,12963,0,1,281,293,0x00000000,349,
2026-07-21T05:33:44.503808+00:00,1367,accelerate_hold,2,M1,2,1,1,31,3.1,-4.5,12965,0,1,162,154,0x00000000,548,
2026-07-21T05:33:44.864362+00:00,1728,accelerate_hold,2,M1,2,1,1,10,1.0,0.8,12968,0,1,222,273,0x00000000,300,
2026-07-21T05:33:45.237642+00:00,2101,accelerate_hold,2,M1,2,1,1,-8,-0.8,-5.2,12969,0,1,42,40,0x00000000,313,
2026-07-21T05:33:45.625682+00:00,2489,accelerate_hold,2,M1,2,1,1,-2,-0.2,-4.1,12973,0,1,100,222,0x00000000,328,
2026-07-21T05:33:46.209608+00:00,3073,accelerate_hold,2,M1,2,1,1,-19,-1.9,-3.9,12977,0,1,42,33,0x00000000,524,
2026-07-21T05:33:46.454546+00:00,3318,accelerate_hold,2,M1,2,1,1,33,3.3,-3.8,12980,0,1,222,163,0x00000000,185,
2026-07-21T05:33:46.655043+00:00,3519,accelerate_hold,2,M1,2,1,1,36,3.6,-4.4,12982,0,1,344,281,0x00000000,140,
2026-07-21T05:33:46.877332+00:00,3741,accelerate_hold,2,M1,2,1,1,21,2.1,-4.9,12982,0,1,344,349,0x00000000,162,
2026-07-21T05:33:47.080308+00:00,3944,accelerate_hold,2,M1,2,1,1,-4,-0.4,0.0,12984,0,1,100,43,0x00000000,143,
2026-07-21T05:33:47.328595+00:00,4192,accelerate_hold,2,M1,2,1,1,29,2.9,0.3,12986,0,1,222,252,0x00000000,188,
2026-07-21T05:33:47.626875+00:00,4490,accelerate_hold,2,M1,2,1,1,-5,-0.5,-0.7,12988,0,1,281,344,0x00000000,238,
2026-07-21T05:33:47.834606+00:00,4698,accelerate_hold,2,M1,2,1,1,35,3.5,-4.6,12989,0,1,344,52,0x00000000,148,
2026-07-21T05:33:48.054572+00:00,4918,accelerate_hold,2,M1,2,1,1,30,3.0,-4.6,12992,0,1,162,102,0x00000000,160,
2026-07-21T05:33:48.275138+00:00,5139,accelerate_hold,2,M1,2,1,1,29,2.9,-1.0,12990,0,1,162,228,0x00000000,160,
2026-07-21T05:33:48.501827+00:00,5365,accelerate_hold,2,M1,2,1,1,34,3.4,-4.0,12993,0,1,222,241,0x00000000,167,
2026-07-21T05:33:48.746498+00:00,5610,decelerate_zero,2,M1,2,0,0,29,2.9,-3.9,12992,0,1,222,229,0x00000000,154,
2026-07-21T05:33:48.977329+00:00,5841,decelerate_zero,2,M1,2,0,0,-2,-0.2,-5.0,12994,0,1,281,163,0x00000000,171,
2026-07-21T05:33:49.257172+00:00,6121,decelerate_zero,2,M1,2,0,0,39,3.9,-5.2,12993,0,1,222,163,0x00000000,220,
2026-07-21T05:33:49.452062+00:00,6316,decelerate_zero,2,M1,2,0,0,-40,-4.0,3.9,12994,0,1,281,344,0x00000000,135,
2026-07-21T05:33:49.684685+00:00,6548,decelerate_zero,2,M1,2,0,0,-8,-0.8,5.3,12992,0,1,281,344,0x00000000,173,
2026-07-21T05:33:49.927340+00:00,6791,decelerate_zero,2,M1,2,0,0,28,2.8,-4.3,12994,0,1,222,230,0x00000000,183,
2026-07-21T05:33:50.127451+00:00,6991,decelerate_zero,2,M1,2,0,0,-8,-0.8,-4.9,12994,0,1,281,199,0x00000000,140,
2026-07-21T05:33:50.348512+00:00,7212,decelerate_zero,2,M1,2,0,0,-40,-4.0,3.8,12993,0,1,281,344,0x00000000,161,
2026-07-21T05:33:50.545072+00:00,7409,decelerate_zero,2,M1,2,0,0,38,3.8,-5.0,12993,0,1,222,163,0x00000000,136,
2026-07-21T05:33:50.853329+00:00,7717,decelerate_zero,2,M1,2,0,0,4,0.4,4.6,12992,0,1,222,332,0x00000000,248,
2026-07-21T05:33:51.066750+00:00,7930,decelerate_zero,2,M1,2,0,0,8,0.8,-4.7,12994,0,1,222,163,0x00000000,153,
2026-07-21T05:33:51.354625+00:00,8218,final,2,M1,2,0,0,-37,-3.7,-0.1,12992,0,0,162,153,0x00000000,176,
