time_utc,elapsed_ms,phase,drive_id,channel,logical_motor,requested_rpm,given_rpm,actual_speed_raw_d10,actual_rpm,current_a,position_counts,control_command,run_status,hall_state,hall_angle_deg,error_code,sample_duration_ms,read_errors
2026-07-21T05:43:14.919927+00:00,162,baseline,2,M1,2,0,0,0,0.0,0.0,11,0,0,344,42,0x00000000,144,
2026-07-21T05:43:15.189390+00:00,432,accelerate_hold,2,M1,2,1,0,0,0.0,0.1,11,0,1,344,104,0x00000000,253,
2026-07-21T05:43:15.518448+00:00,761,accelerate_hold,2,M1,2,1,1,6,0.6,-4.7,12,0,1,162,254,0x00000000,149,
2026-07-21T05:43:15.879948+00:00,1122,accelerate_hold,2,M1,2,1,1,0,0.0,0.7,13,0,1,101,126,0x00000000,181,
2026-07-21T05:43:16.219909+00:00,1462,accelerate_hold,2,M1,2,1,1,10,1.0,-2.6,14,0,1,101,216,0x00000000,160,
2026-07-21T05:43:16.549283+00:00,1792,accelerate_hold,2,M1,2,1,1,5,0.5,0.8,16,0,1,42,101,0x00000000,149,
2026-07-21T05:43:16.962175+00:00,2205,accelerate_hold,2,M1,2,1,1,10,1.0,4.5,19,0,1,162,145,0x00000000,233,
2026-07-21T05:43:17.299170+00:00,2542,accelerate_hold,2,M1,2,1,1,8,0.8,4.4,21,0,1,42,88,0x00000000,157,
2026-07-21T05:43:17.634361+00:00,2877,accelerate_hold,2,M1,2,1,1,3,0.3,4.1,23,0,1,345,89,0x00000000,155,
2026-07-21T05:43:17.983766+00:00,3226,accelerate_hold,2,M1,2,1,1,13,1.3,0.4,25,0,1,281,31,0x00000000,169,
2026-07-21T05:43:18.458723+00:00,3701,accelerate_hold,2,M1,2,1,1,10,1.0,-5.3,28,0,1,42,222,0x00000000,295,
2026-07-21T05:43:18.791721+00:00,4034,accelerate_hold,2,M1,2,1,1,11,1.1,2.3,30,0,1,42,89,0x00000000,153,
2026-07-21T05:43:20.186433+00:00,5429,accelerate_hold,2,M1,2,1,0,0,0.0,-0.1,31,0,0,281,,0x00000800,1215,0x568Cx2:READ_REG_FAILED
2026-07-21T05:43:29.626243+00:00,14869,accelerate_hold,2,M1,2,1,,,,,,,,,,,9260,0x5300x2:READ_REG_FAILED|0x5304x2:READ_REG_FAILED|0x5400x2:READ_REG_FAILED|0x5410x2:READ_REG_FAILED|0x5414x2:READ_REG_FAILED|0x5418x4:READ_REG_FAILED|0x5420x4:READ_REG_FAILED|0x5688x2:READ_REG_FAILED|0x568Cx2:READ_REG_FAILED
