time_utc,elapsed_ms,phase,drive_id,channel,logical_motor,requested_rpm,given_rpm,actual_speed_raw_d10,actual_rpm,current_a,position_counts,control_command,run_status,hall_state,hall_angle_deg,error_code,sample_duration_ms,read_errors
2026-07-21T05:31:45.030688+00:00,183,baseline,2,M1,2,0,0,0,0.0,-0.1,104,0,0,344,281,0x00000000,170,
2026-07-21T05:31:45.175610+00:00,328,accelerate_hold,2,M1,2,3,0,0,0.0,-0.1,104,0,1,344,281,0x00000000,131,
2026-07-21T05:31:45.377893+00:00,531,accelerate_hold,2,M1,2,3,1,-1,-0.1,-3.7,104,0,1,281,222,0x00000000,142,
2026-07-21T05:31:45.567856+00:00,721,accelerate_hold,2,M1,2,3,1,-4,-0.4,4.5,104,0,1,42,100,0x00000000,130,
2026-07-21T05:31:45.786847+00:00,940,accelerate_hold,2,M1,2,3,1,9,0.9,-4.0,104,0,1,162,232,0x00000000,159,
2026-07-21T05:31:46.133836+00:00,1287,accelerate_hold,2,M1,2,3,1,0,0.0,-0.9,106,0,1,222,167,0x00000000,287,
2026-07-21T05:31:46.353700+00:00,1506,accelerate_hold,2,M1,2,3,1,-1,-0.1,4.4,107,0,1,222,281,0x00000000,160,
2026-07-21T05:31:46.552311+00:00,1705,accelerate_hold,2,M1,2,3,1,12,1.2,-3.3,107,0,1,100,219,0x00000000,138,
2026-07-21T05:31:46.749024+00:00,1902,accelerate_hold,2,M1,2,3,1,9,0.9,-5.4,109,0,1,100,75,0x00000000,137,
2026-07-21T05:31:46.972574+00:00,2125,accelerate_hold,2,M1,2,3,1,5,0.5,4.4,110,0,1,222,343,0x00000000,163,
2026-07-21T05:31:47.194468+00:00,2347,accelerate_hold,2,M1,2,3,2,16,1.6,4.0,112,0,1,344,104,0x00000000,162,
2026-07-21T05:31:47.409861+00:00,2563,accelerate_hold,2,M1,2,3,2,15,1.5,-7.8,114,0,1,281,353,0x00000000,155,
2026-07-21T05:31:47.849682+00:00,3002,accelerate_hold,2,M1,2,3,2,10,1.0,3.0,119,0,1,281,344,0x00000000,380,
2026-07-21T05:31:48.077097+00:00,3230,accelerate_hold,2,M1,2,3,2,20,2.0,3.9,122,0,1,162,281,0x00000000,167,
2026-07-21T05:31:48.287819+00:00,3441,decelerate_zero,2,M1,2,0,2,15,1.5,4.0,125,0,1,281,343,0x00000000,133,
2026-07-21T05:31:48.495943+00:00,3649,decelerate_zero,2,M1,2,0,2,14,1.4,4.3,127,0,1,222,30,0x00000000,148,
