time_utc,elapsed_ms,phase,drive_id,channel,logical_motor,requested_rpm,given_rpm,actual_speed_raw_d10,actual_rpm,current_a,position_counts,control_command,run_status,hall_state,hall_angle_deg,error_code,sample_duration_ms,read_errors
2026-07-21T05:30:35.552837+00:00,333,baseline,2,M1,2,0,0,0,0.0,-0.1,64,0,0,344,281,0x00000000,296,
2026-07-21T05:30:35.883035+00:00,663,accelerate_hold,2,M1,2,1,0,0,0.0,-0.1,64,0,1,344,281,0x00000000,298,
2026-07-21T05:30:36.266472+00:00,1047,accelerate_hold,2,M1,2,1,1,-3,-0.3,-4.4,65,0,1,100,222,0x00000000,323,
2026-07-21T05:30:36.886311+00:00,1667,accelerate_hold,2,M1,2,1,1,9,0.9,3.1,66,0,1,42,162,0x00000000,560,
2026-07-21T05:30:37.282330+00:00,2063,accelerate_hold,2,M1,2,1,1,9,0.9,1.8,69,0,1,281,47,0x00000000,336,
2026-07-21T05:30:37.655951+00:00,2436,accelerate_hold,2,M1,2,1,1,10,1.0,4.4,71,0,1,344,155,0x00000000,313,
2026-07-21T05:30:38.153207+00:00,2934,accelerate_hold,2,M1,2,1,1,11,1.1,5.0,74,0,1,344,128,0x00000000,437,
2026-07-21T05:30:38.551726+00:00,3332,accelerate_hold,2,M1,2,1,1,7,0.7,4.2,77,0,1,42,275,0x00000000,338,
2026-07-21T05:30:38.987006+00:00,3767,decelerate_zero,2,M1,2,0,1,12,1.2,-4.7,80,0,1,162,169,0x00000000,338,
2026-07-21T05:30:39.375068+00:00,4156,decelerate_zero,2,M1,2,0,1,6,0.6,3.0,82,0,1,281,42,0x00000000,328,
2026-07-21T05:30:39.751740+00:00,4532,decelerate_zero,2,M1,2,0,1,11,1.1,0.7,82,0,1,162,216,0x00000000,317,
2026-07-21T05:30:39.966453+00:00,4747,decelerate_zero,2,M1,2,0,1,0,0.0,5.0,83,0,1,42,100,0x00000000,155,
2026-07-21T05:30:40.227232+00:00,5008,decelerate_zero,2,M1,2,0,1,-4,-0.4,4.0,84,0,1,42,37,0x00000000,201,
2026-07-21T05:30:40.456785+00:00,5237,decelerate_zero,2,M1,2,0,0,-2,-0.2,4.4,83,0,1,344,332,0x00000000,169,
2026-07-21T05:30:40.675017+00:00,5455,decelerate_zero,2,M1,2,0,0,0,0.0,-0.9,83,0,1,281,222,0x00000000,158,
2026-07-21T05:30:40.866489+00:00,5647,decelerate_zero,2,M1,2,0,0,0,0.0,0.6,83,0,1,222,202,0x00000000,131,
2026-07-21T05:30:41.077082+00:00,5858,decelerate_zero,2,M1,2,0,0,0,0.0,-0.3,83,0,1,222,194,0x00000000,150,
2026-07-21T05:30:41.540508+00:00,6321,final,2,M1,2,0,0,0,0.0,-0.1,83,0,0,222,163,0x00000000,160,
