time_utc,elapsed_ms,phase,drive_id,channel,logical_motor,requested_rpm,given_rpm,actual_speed_raw_d10,actual_rpm,current_a,position_counts,control_command,run_status,hall_state,hall_angle_deg,error_code,sample_duration_ms,read_errors
2026-07-21T05:30:06.030903+00:00,514,baseline,2,M1,2,0,0,0,0.0,0.0,45,0,0,281,343,0x00000000,473,
2026-07-21T05:30:06.393828+00:00,877,accelerate_hold,2,M1,2,1,0,0,0.0,0.1,45,0,1,42,70,0x00000000,330,
2026-07-21T05:30:06.777910+00:00,1261,accelerate_hold,2,M1,2,1,1,6,0.6,3.6,46,0,1,222,292,0x00000000,324,
2026-07-21T05:30:07.178234+00:00,1662,accelerate_hold,2,M1,2,1,1,7,0.7,-4.5,46,0,1,222,281,0x00000000,340,
2026-07-21T05:30:07.574787+00:00,2058,accelerate_hold,2,M1,2,1,1,8,0.8,4.4,49,0,1,42,112,0x00000000,336,
2026-07-21T05:30:07.939286+00:00,2423,accelerate_hold,2,M1,2,1,1,7,0.7,1.4,51,0,1,42,100,0x00000000,304,
2026-07-21T05:30:08.327062+00:00,2810,accelerate_hold,2,M1,2,1,1,8,0.8,-5.0,53,0,1,42,80,0x00000000,328,
2026-07-21T05:30:08.522161+00:00,3006,accelerate_hold,2,M1,2,1,1,10,1.0,-5.4,55,0,1,42,100,0x00000000,135,
2026-07-21T05:30:08.711821+00:00,3195,accelerate_hold,2,M1,2,1,1,6,0.6,4.4,56,0,1,100,162,0x00000000,129,
2026-07-21T05:30:09.030722+00:00,3514,accelerate_hold,2,M1,2,1,1,9,0.9,-4.4,58,0,1,42,130,0x00000000,259,
2026-07-21T05:30:09.295573+00:00,3779,decelerate_zero,2,M1,2,0,1,11,1.1,-4.6,60,0,1,162,254,0x00000000,186,
2026-07-21T05:30:09.485573+00:00,3969,decelerate_zero,2,M1,2,0,1,12,1.2,-4.0,61,0,1,162,107,0x00000000,130,
2026-07-21T05:30:09.702534+00:00,4186,decelerate_zero,2,M1,2,0,1,6,0.6,1.2,62,0,1,100,162,0x00000000,157,
2026-07-21T05:30:09.896252+00:00,4380,decelerate_zero,2,M1,2,0,1,3,0.3,4.5,63,0,1,344,339,0x00000000,133,
2026-07-21T05:30:10.088887+00:00,4572,decelerate_zero,2,M1,2,0,1,7,0.7,4.9,63,0,1,162,222,0x00000000,132,
2026-07-21T05:30:10.277711+00:00,4761,decelerate_zero,2,M1,2,0,1,8,0.8,4.1,64,0,1,281,344,0x00000000,129,
2026-07-21T05:30:10.604943+00:00,5088,decelerate_zero,2,M1,2,0,1,0,0.0,4.4,64,0,1,100,98,0x00000000,267,
2026-07-21T05:30:10.798029+00:00,5281,decelerate_zero,2,M1,2,0,0,3,0.3,1.4,64,0,1,344,42,0x00000000,133,
2026-07-21T05:30:11.003642+00:00,5487,decelerate_zero,2,M1,2,0,0,0,0.0,-0.2,64,0,1,344,281,0x00000000,145,
2026-07-21T05:30:11.196269+00:00,5680,decelerate_zero,2,M1,2,0,0,0,0.0,-0.2,64,0,1,344,281,0x00000000,132,
2026-07-21T05:30:11.426469+00:00,5910,decelerate_zero,2,M1,2,0,0,0,0.0,-0.2,64,0,1,344,281,0x00000000,170,
2026-07-21T05:30:11.678151+00:00,6162,final,2,M1,2,0,0,0,0.0,0.0,64,0,0,344,281,0x00000000,131,
