time_utc,elapsed_ms,phase,drive_id,channel,logical_motor,requested_rpm,given_rpm,actual_speed_raw_d10,actual_rpm,current_a,position_counts,control_command,run_status,hall_state,hall_angle_deg,error_code,sample_duration_ms,read_errors
2026-07-21T05:31:19.059462+00:00,160,baseline,2,M2,3,0,0,0,0.0,0.0,30,0,0,99,161,0x00000000,139,
2026-07-21T05:31:19.236115+00:00,336,accelerate_hold,2,M2,3,1,0,0,0.0,0.2,30,0,1,99,161,0x00000000,154,
2026-07-21T05:31:19.451976+00:00,552,accelerate_hold,2,M2,3,1,1,5,0.5,-4.9,30,0,1,220,228,0x00000000,156,
2026-07-21T05:31:19.670439+00:00,771,accelerate_hold,2,M2,3,1,1,0,0.0,0.0,31,0,1,343,278,0x00000000,158,
2026-07-21T05:31:19.882000+00:00,982,accelerate_hold,2,M2,3,1,1,0,0.0,0.1,31,0,1,161,150,0x00000000,151,
2026-07-21T05:31:20.248672+00:00,1349,accelerate_hold,2,M2,3,1,1,9,0.9,-1.8,33,0,1,220,161,0x00000000,307,
2026-07-21T05:31:20.457243+00:00,1557,accelerate_hold,2,M2,3,1,1,3,0.3,4.4,34,0,1,220,278,0x00000000,148,
2026-07-21T05:31:20.646347+00:00,1747,accelerate_hold,2,M2,3,1,1,14,1.4,-4.3,35,0,1,161,219,0x00000000,129,
2026-07-21T05:31:20.855586+00:00,1956,accelerate_hold,2,M2,3,1,1,7,0.7,5.4,36,0,1,278,27,0x00000000,149,
2026-07-21T05:31:21.085966+00:00,2186,accelerate_hold,2,M2,3,1,1,10,1.0,-4.6,38,0,1,278,359,0x00000000,170,
2026-07-21T05:31:21.297197+00:00,2397,accelerate_hold,2,M2,3,1,1,5,0.5,4.3,39,0,1,40,24,0x00000000,151,
2026-07-21T05:31:21.536127+00:00,2636,accelerate_hold,2,M2,3,1,1,11,1.1,0.6,40,0,1,99,220,0x00000000,179,
2026-07-21T05:31:21.969018+00:00,3069,accelerate_hold,2,M2,3,1,1,7,0.7,4.4,43,0,1,220,245,0x00000000,373,
2026-07-21T05:31:22.168699+00:00,3269,accelerate_hold,2,M2,3,1,1,10,1.0,0.4,44,0,1,220,321,0x00000000,140,
2026-07-21T05:31:22.391838+00:00,3492,decelerate_zero,2,M2,3,0,1,14,1.4,-4.2,46,0,1,278,343,0x00000000,143,
2026-07-21T05:31:22.581902+00:00,3682,decelerate_zero,2,M2,3,0,1,5,0.5,4.4,47,0,1,220,292,0x00000000,130,
2026-07-21T05:31:22.772264+00:00,3872,decelerate_zero,2,M2,3,0,1,11,1.1,-2.3,48,0,1,40,99,0x00000000,130,
2026-07-21T05:31:22.966555+00:00,4067,decelerate_zero,2,M2,3,0,1,0,0.0,3.9,49,0,1,40,99,0x00000000,134,
2026-07-21T05:31:23.217792+00:00,4318,decelerate_zero,2,M2,3,0,1,9,0.9,-4.0,49,0,1,278,342,0x00000000,191,
2026-07-21T05:31:23.620538+00:00,4721,decelerate_zero,2,M2,3,0,1,7,0.7,3.5,50,0,1,161,128,0x00000000,343,
2026-07-21T05:31:23.984701+00:00,5085,decelerate_zero,2,M2,3,0,0,0,0.0,-0.3,50,0,1,161,219,0x00000000,304,
2026-07-21T05:31:24.359011+00:00,5459,decelerate_zero,2,M2,3,0,0,0,0.0,-0.2,50,0,1,161,99,0x00000000,314,
2026-07-21T05:31:24.708557+00:00,5809,decelerate_zero,2,M2,3,0,0,0,0.0,-0.3,50,0,1,161,99,0x00000000,289,
2026-07-21T05:31:25.325613+00:00,6426,final,2,M2,3,0,0,0,0.0,0.0,50,0,0,161,99,0x00000000,329,
